ELRC-4329-PRINCIPLE_MVEP_legal	v1	41525	30/11709	.25
ELRC-943-Journal_Croatian_Ass	v1	18450	30/11709	.25
ELRA-W0201	v1	35003	29/11709	.24
ELRA-W0243	v1	12537	29/11709	.24
ELRC-427-Electronic_Exchange_	v1	9513	29/11709	.24
ELRC-4334-Rkiskaup_2020	v1	9805	29/11709	.24
ELRC-638-Luxembourg.lu	v1	35003	29/11709	.24
ELRC-768-corpora_State_Admini	v1	49864	29/11709	.24
ELRC-842-Quarterly_Reports_Pa	v1	12537	29/11709	.24
ELRC-84-Dutch_Government	v1	6506	29/11709	.24
ELRC-899-Danish_FSA	v1	2008	29/11709	.24
Europarl	v8	2375417	29/11709	.24
ELRC-837-Legal	v1	1291	28/11709	.23
ELRA-W0138	v1	90058	27/11709	.23
ELRC-1075-EUIPO_law	v1	90058	27/11709	.23
ELRC-www.vtv.fi	v1	53418	27/11709	.23
ELRC-1076-EUIPO_law	v1	114632	26/11709	.22
ELRC-417-Swedish_Work_Environ	v1	7028	26/11709	.22
ELRC-4324-Government_Offices_I	v1	18627	25/11709	.21
ELRC-534-www.norges_bank.no	v1	71682	25/11709	.21
ELRC-845-Corpora_legal_text	v1	924	25/11709	.21
ELRC-vnk.fi	v1	45736	25/11709	.21
EUconst	v1	6683	25/11709	.21
ELRA-W0136	v1	7549	24/11709	.20
ELRC-1000-legislation_Bulgaria	v1	5183	24/11709	.20
ELRC-1072-annual_reports_immig	v1	7549	24/11709	.20
ELRC-1127-www.vtv.fi	v1	41560	24/11709	.20
ELRC-563-Statoil_energy_compa	v1	54342	24/11709	.20
ELRC-EUIPO_2017	v1	31587	24/11709	.20
ELRA-W0142	v1	2394	23/11709	.19
ELRA-W0167	v1	42999	23/11709	.19
ELRA-W0191	v1	61046	23/11709	.19
ELRC-1080-Acts_Biological_Land	v1	2394	23/11709	.19
ELRC-408-transport	v1	3230	23/11709	.19
ELRC-429-Legal_Estonian_Justi	v1	42999	23/11709	.19
ELRC-490-Secretariat_General_	v1	61046	23/11709	.19
ELRA-W0137	v1	6024	22/11709	.18
ELRC-1073-annual_reports_Slova	v1	6024	22/11709	.18
ELRC-1984-Hellenic_Gaming_Comm	v1	3603	22/11709	.18
ELRC-4338-University_Iceland	v1	10246	22/11709	.18
ELRC-591-www.lb.lt	v1	31709	22/11709	.18
ELRA-W0206	v1	4123	21/11709	.17
ELRC-1771-vnk.fi	v1	31558	21/11709	.17
ELRC-654-Romanian_Ombudsman_a	v1	4123	21/11709	.17
ELRC-antibiotic	v1	1578	21/11709	.17
ELRC-www.vero.fi	v1	27593	20/11709	.17
News-Commentary	v11	362778	20/11709	.17
News-Commentary	v14	530397	20/11709	.17
News-Commentary	v16	633326	20/11709	.17
News-Commentary	v9.0	328698	20/11709	.17
News-Commentary	v9.1	328698	20/11709	.17
SUMMA	v1	89864	20/11709	.17
ELRC-1062-rigsrevisionen.dk	v1	8280	19/11709	.16
ELRC-1078-EUIPO_law	v1	35026	19/11709	.16
ELRC-1772-vnk.fi	v1	33681	19/11709	.16
ELRC-4327-Government_Offices_I	v1	37820	19/11709	.16
ELRC-5126-IRC_Early_Career	v1	552	19/11709	.16
ELRC-905-spillemyndigheden.dk	v1	3341	19/11709	.16
ELRA-W0186	v1	2462	18/11709	.15
ELRA-W0282	v1	1354	18/11709	.15
ELRC-1133-www.vtv.fi	v1	44890	18/11709	.15
ELRC-3217-antibiotic	v1	783	18/11709	.15
ELRC-485-Civil_Aviation_Regul	v1	2403	18/11709	.15
ELRC-5125-IRC_Conditions_award	v1	456	18/11709	.15
ELRC-5145-Roinn_an_Dl	v1	494	18/11709	.15
ELRC-847-mst.dk	v1	37397	18/11709	.15
ELRC-962-Regional_Development	v1	1354	18/11709	.15
ELRC-EU_publications	v1	13908	18/11709	.15
sardware	v1	6144	18/11709	.15
ELRA-W0160	v1	9174	17/11709	.14
ELRA-W0244	v1	14622	17/11709	.14
ELRC-1787-Press_Releases_PIO	v1	4953	17/11709	.14
ELRC-2037-www.vero.fi	v1	22339	17/11709	.14
ELRC-405-President_Lithuania	v1	9174	17/11709	.14
ELRC-634-BMI_Brochures_2011	v1	8511	17/11709	.14
