ELRC_3382	v1	3353	0/16753	0
ELRC-3600-presscorner_covid	v1	6733	0/16753	0
ELRC-401-Swedish_Labour_Part2	v1	178	0/16753	0
ELRC-417-Swedish_Work_Environ	v1	186	0/16753	0
ELRC-436-Swedish_Food	v1	19	0/16753	0
ELRC-4995-Finnish_Financial_MT	v1	998	0/16753	0
ELRC-5067-SciPar	v1	457701	0/16753	0
ELRC-EUROPARL_covid	v1	662	0/16753	0
ELRC-presscorner_covid	v1	6733	0/16753	0
ELRC-wikipedia_health	v1	333	0/16753	0
GNOME	v1	48	0/16753	0
MPC1	v1	7537	0/16753	0
PHP	v1	0	0/16753	0
Tatoeba	v20190709	99159	0/16753	0
Tatoeba	v2	21591	0/16753	0
TED2020	v1	49500	0/16753	0
Ubuntu	v14.10	45	0/16753	0
WMT-News	v2019	1370	0/16753	0
